processes,trials,mean_wall_time_ms,min_wall_time_ms,max_wall_time_ms,std_wall_time_ms,speedup,efficiency,efficiency_percent
1,5,6091.784000000001,5911.051,6428.303,201.29906092552906,1.0,1.0,100.0
2,5,3491.0408,3270.824,3600.972,129.1371901610841,1.7449764551591607,0.8724882275795803,87.24882275795804
4,5,2332.746,1932.438,2680.535,285.9290991819475,2.611421903627742,0.6528554759069355,65.28554759069355
